NAME,CODE,EXCHANGE_RATE
bat (Tajlandia),THB,0.1294
dolar amerykański,USD,4.2193
dolar australijski,AUD,3.069
dolar Hongkongu,HKD,0.5398
dolar kanadyjski,CAD,3.3305
dolar nowozelandzki,NZD,2.8571
dolar singapurski,SGD,3.1147
euro,EUR,4.7241
forint (Węgry),HUF,0.012675
frank szwajcarski,CHF,4.6037
funt szterling,GBP,5.6593
hrywna (Ukraina),UAH,0.1381
jen (Japonia),JPY,0.036759
korona czeska,CZK,0.1873
korona duńska,DKK,0.6351
korona islandzka,ISK,0.033315
korona norweska,NOK,0.4782
korona szwedzka,SEK,0.4419
kuna (Chorwacja),HRK,0.6243
lej rumuński,RON,0.9547
lew (Bułgaria),BGN,2.4154
lira turecka,TRY,0.3029
nowy izraelski szekel,ILS,1.3099
peso chilijskie,CLP,0.005279
peso filipińskie,PHP,0.0822
peso meksykańskie,MXN,0.206
rand (Republika Południowej Afryki),ZAR,0.2745
real (Brazylia),BRL,0.8177
ringgit (Malezja),MYR,1.0063
rubel rosyjski,RUB,0.0447
rupia indonezyjska,IDR,2.9429E-4
rupia indyjska,INR,0.055948
won południowokoreański,KRW,0.003514
yuan renminbi (Chiny),CNY,0.6683
SDR (MFW),XDR,5.884
